unit	unit_title	lesson	lesson_title	challenge	type	prompt	correct_answer	source_pages
5	04 At Work and at School	3	Sentence Practice	1	ASSIST	"Choose the correct Malay sentence for ""I work at a company.""."	Saya bekerja di sebuah syarikat.	50-64
5	04 At Work and at School	3	Sentence Practice	2	SELECT	"Choose the correct Malay sentence for ""My child goes to school in Kuala Lumpur.""."	Anak saya bersekolah di Kuala Lumpur.	50-64
5	04 At Work and at School	3	Sentence Practice	3	ASSIST	"Choose the correct Malay sentence for ""I can type quickly.""."	Saya boleh menaip dengan pantas.	50-64
5	04 At Work and at School	3	Sentence Practice	4	SELECT	"Choose the correct Malay sentence for ""She works part-time three days a week.""."	Dia bekerja sambilan tiga hari seminggu.	50-64
5	04 At Work and at School	3	Sentence Practice	5	ASSIST	"Choose the correct Malay sentence for ""I graduated last year.""."	Saya tamat pengajian tahun lalu.	50-64
5	04 At Work and at School	3	Sentence Practice	6	SELECT	"Choose the correct Malay sentence for ""I have five years of experience.""."	Saya mempunyai pengalaman selama lima tahun.	50-64
5	04 At Work and at School	4	Daily Speaking Scenario	1	SELECT	"What should you say in Malay for: ""Ask a teacher for help."""	Bolehkah cikgu membantu saya?	50-64
5	04 At Work and at School	4	Daily Speaking Scenario	2	ASSIST	"What should you say in Malay for: ""Tell an interviewer you can start next month."""	Saya boleh mula bekerja bulan hadapan.	50-64
5	04 At Work and at School	4	Daily Speaking Scenario	3	SELECT	"What should you say in Malay for: ""Ask where the classroom is."""	Di mana bilik darjah?	50-64
5	04 At Work and at School	4	Daily Speaking Scenario	4	ASSIST	"What should you say in Malay for: ""Say you study in the evening."""	Saya belajar pada waktu malam.	50-64
5	04 At Work and at School	4	Daily Speaking Scenario	5	SELECT	"What should you say in Malay for: ""Ask whether the job is full-time."""	Adakah pekerjaan ini sepenuh masa?	50-64
5	04 At Work and at School	4	Daily Speaking Scenario	6	ASSIST	"What should you say in Malay for: ""Say you can send e-mail."""	Saya boleh menghantar e-mel.	50-64
6	05 Meet the Family	1	Vocabulary Builder	1	SELECT	"Choose the Malay word or phrase for ""parents""."	ibu bapa	65-86
6	05 Meet the Family	1	Vocabulary Builder	2	ASSIST	"Choose the Malay word or phrase for ""older brother""."	abang	65-86
6	05 Meet the Family	1	Vocabulary Builder	3	SELECT	"Choose the Malay word or phrase for ""older sister""."	kakak	65-86
6	05 Meet the Family	1	Vocabulary Builder	4	ASSIST	"Choose the Malay word or phrase for ""younger sibling""."	adik	65-86
6	05 Meet the Family	1	Vocabulary Builder	5	SELECT	"Choose the Malay word or phrase for ""grandparents""."	datuk dan nenek	65-86
6	05 Meet the Family	1	Vocabulary Builder	6	ASSIST	"Choose the Malay word or phrase for ""cousin""."	sepupu	65-86
6	05 Meet the Family	2	Core Conversation	1	ASSIST	"Choose the best Malay line for ""This is my family.""."	Ini keluarga saya.	65-86
6	05 Meet the Family	2	Core Conversation	2	SELECT	"Choose the best Malay line for ""How many siblings do you have?""."	Anda mempunyai berapa orang adik-beradik?	65-86
6	05 Meet the Family	2	Core Conversation	3	ASSIST	"Choose the best Malay line for ""I am the eldest child.""."	Saya anak sulung.	65-86
6	05 Meet the Family	2	Core Conversation	4	SELECT	"Choose the best Malay line for ""My younger sibling is twelve years old.""."	Adik saya berumur dua belas tahun.	65-86
6	05 Meet the Family	2	Core Conversation	5	ASSIST	"Choose the best Malay line for ""Who is the woman beside your mother?""."	Siapakah wanita di sebelah ibu anda?	65-86
6	05 Meet the Family	2	Core Conversation	6	SELECT	"Choose the best Malay line for ""That is my older sister.""."	Itu kakak saya.	65-86
6	05 Meet the Family	3	Sentence Practice	1	ASSIST	"Choose the correct Malay sentence for ""Our house is near the school.""."	Rumah kami berhampiran sekolah.	65-86
6	05 Meet the Family	3	Sentence Practice	2	SELECT	"Choose the correct Malay sentence for ""Their room is upstairs.""."	Bilik mereka di tingkat atas.	65-86
6	05 Meet the Family	3	Sentence Practice	3	ASSIST	"Choose the correct Malay sentence for ""The children are playing.""."	Anak-anak sedang bermain.	65-86
6	05 Meet the Family	3	Sentence Practice	4	SELECT	"Choose the correct Malay sentence for ""I live with my parents.""."	Saya tinggal bersama ibu bapa saya.	65-86
6	05 Meet the Family	3	Sentence Practice	5	ASSIST	"Choose the correct Malay sentence for ""She is younger than me.""."	Dia lebih muda daripada saya.	65-86
6	05 Meet the Family	3	Sentence Practice	6	SELECT	"Choose the correct Malay sentence for ""We will visit our relatives.""."	Kami akan melawat saudara-mara.	65-86
6	05 Meet the Family	4	Daily Speaking Scenario	1	SELECT	"What should you say in Malay for: ""Introduce your mother."""	Ini ibu saya.	65-86
6	05 Meet the Family	4	Daily Speaking Scenario	2	ASSIST	"What should you say in Malay for: ""Ask someone how old their child is."""	Anak anda berumur berapa tahun?	65-86
6	05 Meet the Family	4	Daily Speaking Scenario	3	SELECT	"What should you say in Malay for: ""Say you have one older brother."""	Saya mempunyai seorang abang.	65-86
6	05 Meet the Family	4	Daily Speaking Scenario	4	ASSIST	"What should you say in Malay for: ""Ask who lives in the house."""	Siapa yang tinggal di rumah ini?	65-86
6	05 Meet the Family	4	Daily Speaking Scenario	5	SELECT	"What should you say in Malay for: ""Say your grandparents live in Penang."""	Datuk dan nenek saya tinggal di Pulau Pinang.	65-86
6	05 Meet the Family	4	Daily Speaking Scenario	6	ASSIST	"What should you say in Malay for: ""Describe your youngest sibling."""	Adik bongsu saya masih bersekolah.	65-86
7	06 Sightseeing	1	Vocabulary Builder	1	SELECT	"Choose the Malay word or phrase for ""historic place""."	tempat bersejarah	87-108
7	06 Sightseeing	1	Vocabulary Builder	2	ASSIST	"Choose the Malay word or phrase for ""museum""."	muzium	87-108
7	06 Sightseeing	1	Vocabulary Builder	3	SELECT	"Choose the Malay word or phrase for ""national park""."	taman negara	87-108
7	06 Sightseeing	1	Vocabulary Builder	4	ASSIST	"Choose the Malay word or phrase for ""beach""."	pantai	87-108
7	06 Sightseeing	1	Vocabulary Builder	5	SELECT	"Choose the Malay word or phrase for ""schedule""."	jadual	87-108
7	06 Sightseeing	1	Vocabulary Builder	6	ASSIST	"Choose the Malay word or phrase for ""ticket""."	tiket	87-108
7	06 Sightseeing	2	Core Conversation	1	ASSIST	"Choose the best Malay line for ""What is there to see here?""."	Ada apa yang boleh dilihat di sini?	87-108
7	06 Sightseeing	2	Core Conversation	2	SELECT	"Choose the best Malay line for ""Can you recommend an interesting place?""."	Boleh cadangkan tempat yang menarik?	87-108
7	06 Sightseeing	2	Core Conversation	3	ASSIST	"Choose the best Malay line for ""What time does the museum open?""."	Muzium dibuka pada pukul berapa?	87-108
7	06 Sightseeing	2	Core Conversation	4	SELECT	"Choose the best Malay line for ""We want to visit the city centre.""."	Kami mahu melawat pusat bandar.	87-108
7	06 Sightseeing	2	Core Conversation	5	ASSIST	"Choose the best Malay line for ""Is there a tour on Monday?""."	Ada lawatan pada hari Isnin?	87-108
7	06 Sightseeing	2	Core Conversation	6	SELECT	"Choose the best Malay line for ""How long is the tour?""."	Berapa lama lawatan itu?	87-108
7	06 Sightseeing	3	Sentence Practice	1	ASSIST	"Choose the correct Malay sentence for ""There are many interesting places in this city.""."	Ada banyak tempat menarik di bandar ini.	87-108
7	06 Sightseeing	3	Sentence Practice	2	SELECT	"Choose the correct Malay sentence for ""The bus leaves at nine o clock.""."	Bas bertolak pada pukul sembilan.	87-108
7	06 Sightseeing	3	Sentence Practice	3	ASSIST	"Choose the correct Malay sentence for ""The museum is closed on Tuesday.""."	Muzium tutup pada hari Selasa.	87-108
7	06 Sightseeing	3	Sentence Practice	4	SELECT	"Choose the correct Malay sentence for ""The tour takes two hours.""."	Lawatan itu mengambil masa dua jam.	87-108
7	06 Sightseeing	3	Sentence Practice	5	ASSIST	"Choose the correct Malay sentence for ""We chose a three-day package.""."	Kami memilih pakej tiga hari.	87-108
7	06 Sightseeing	3	Sentence Practice	6	SELECT	"Choose the correct Malay sentence for ""Either morning or afternoon is suitable for me.""."	Sama ada pagi atau petang sesuai untuk saya.	87-108
7	06 Sightseeing	4	Daily Speaking Scenario	1	SELECT	"What should you say in Malay for: ""Ask for the opening time."""	Tempat ini dibuka pada pukul berapa?	87-108
7	06 Sightseeing	4	Daily Speaking Scenario	2	ASSIST	"What should you say in Malay for: ""Buy two adult tickets."""	Saya mahu dua tiket dewasa.	87-108
7	06 Sightseeing	4	Daily Speaking Scenario	3	SELECT	"What should you say in Malay for: ""Ask whether photography is allowed."""	Boleh ambil gambar di sini?	87-108
7	06 Sightseeing	4	Daily Speaking Scenario	4	ASSIST	"What should you say in Malay for: ""Say the visit is on Friday morning."""	Lawatan itu pada pagi Jumaat.	87-108
7	06 Sightseeing	4	Daily Speaking Scenario	5	SELECT	"What should you say in Malay for: ""Ask what time the last tour starts."""	Lawatan terakhir bermula pada pukul berapa?	87-108
7	06 Sightseeing	4	Daily Speaking Scenario	6	ASSIST	"What should you say in Malay for: ""Say you want a one-day tour."""	Saya mahu lawatan satu hari.	87-108
8	07 Invitations	1	Vocabulary Builder	1	SELECT	"Choose the Malay word or phrase for ""invitation""."	jemputan	109-121
8	07 Invitations	1	Vocabulary Builder	2	ASSIST	"Choose the Malay word or phrase for ""event""."	majlis	109-121
8	07 Invitations	1	Vocabulary Builder	3	SELECT	"Choose the Malay word or phrase for ""feast / celebration meal""."	kenduri	109-121
8	07 Invitations	1	Vocabulary Builder	4	ASSIST	"Choose the Malay word or phrase for ""date""."	tarikh	109-121
8	07 Invitations	1	Vocabulary Builder	5	SELECT	"Choose the Malay word or phrase for ""month""."	bulan	109-121
8	07 Invitations	1	Vocabulary Builder	6	ASSIST	"Choose the Malay word or phrase for ""plan""."	rancangan	109-121
8	07 Invitations	2	Core Conversation	1	ASSIST	"Choose the best Malay line for ""I would like to invite you to dinner.""."	Saya ingin menjemput anda makan malam.	109-121
8	07 Invitations	2	Core Conversation	2	SELECT	"Choose the best Malay line for ""Thank you, I will come.""."	Terima kasih, saya akan datang.	109-121
8	07 Invitations	2	Core Conversation	3	ASSIST	"Choose the best Malay line for ""Sorry, I cannot come.""."	Maaf, saya tidak dapat datang.	109-121
8	07 Invitations	2	Core Conversation	4	SELECT	"Choose the best Malay line for ""I already have plans.""."	Saya sudah ada rancangan.	109-121
8	07 Invitations	2	Core Conversation	5	ASSIST	"Choose the best Malay line for ""How about Saturday?""."	Bagaimana kalau hari Sabtu?	109-121
8	07 Invitations	2	Core Conversation	6	SELECT	"Choose the best Malay line for ""Give my regards to your family.""."	Sampaikan salam saya kepada keluarga anda.	109-121
8	07 Invitations	3	Sentence Practice	1	ASSIST	"Choose the correct Malay sentence for ""The event is in August.""."	Majlis itu pada bulan Ogos.	109-121
8	07 Invitations	3	Sentence Practice	2	SELECT	"Choose the correct Malay sentence for ""Please come to my house.""."	Datanglah ke rumah saya.	109-121
8	07 Invitations	3	Sentence Practice	3	ASSIST	"Choose the correct Malay sentence for ""I have to work tonight.""."	Saya terpaksa bekerja malam ini.	109-121
8	07 Invitations	3	Sentence Practice	4	SELECT	"Choose the correct Malay sentence for ""We will return on Monday.""."	Kami akan pulang pada hari Isnin.	109-121
8	07 Invitations	3	Sentence Practice	5	ASSIST	"Choose the correct Malay sentence for ""I cannot attend because I am unwell.""."	Saya tidak dapat hadir kerana kurang sihat.	109-121
8	07 Invitations	3	Sentence Practice	6	SELECT	"Choose the correct Malay sentence for ""Seven o clock is suitable for me.""."	Pukul tujuh sesuai untuk saya.	109-121
8	07 Invitations	4	Daily Speaking Scenario	1	SELECT	"What should you say in Malay for: ""Invite a friend to lunch."""	Saya ingin menjemput anda makan tengah hari.	109-121
8	07 Invitations	4	Daily Speaking Scenario	2	ASSIST	"What should you say in Malay for: ""Accept an invitation enthusiastically."""	Baik, saya dengan senang hati akan datang.	109-121
8	07 Invitations	4	Daily Speaking Scenario	3	SELECT	"What should you say in Malay for: ""Decline because you are travelling."""	Maaf, saya akan pergi ke luar bandar.	109-121
8	07 Invitations	4	Daily Speaking Scenario	4	ASSIST	"What should you say in Malay for: ""Ask for the event date."""	Bilakah tarikh majlis itu?	109-121
